157.55.39.29 - - [03/Feb/2015:19:00:00 -0500] "GET /olyblog/olytrivia-who-guy HTTP/1.1" 404 223 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 297 468
137.78.207.218 - - [03/Feb/2015:19:05:31 -0500] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
66.249.67.153 - - [03/Feb/2015:19:05:39 -0500] "GET /redmine/issues/gantt?month=10&months=6&year=2496&zoom=1 HTTP/1.1" 200 27588 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 777 32467
127.0.0.1 - - [03/Feb/2015:19:05:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:05:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.9 - - [03/Feb/2015:19:05:56 -0500] "GET /redmine/issues/gantt?month=4&months=6&year=1729&zoom=4 HTTP/1.1" 200 51250 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 726 56216
127.0.0.1 - - [03/Feb/2015:19:06:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:06:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:06:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:06:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:07:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:07:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:07:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:07:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.103 - - [03/Feb/2015:19:07:45 -0500] "GET /redmine/projects/lmmpwiki/wiki HTTP/1.1" 200 9765 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 371 10245
127.0.0.1 - - [03/Feb/2015:19:08:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:08:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.4 - - [03/Feb/2015:19:08:35 -0500] "GET /redmine/projects/lmmpwiki/activity?from=1923-01-11&show_news=1 HTTP/1.1" 200 4917 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 734 9582
127.0.0.1 - - [03/Feb/2015:19:08:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:08:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:09:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:09:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:09:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:09:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.4 - - [03/Feb/2015:19:09:52 -0500] "GET /redmine/projects/lmmpwiki/wiki/LMMP HTTP/1.1" 200 9765 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 757 14377
127.0.0.1 - - [03/Feb/2015:19:10:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:10:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
137.78.207.218 - - [03/Feb/2015:19:10:31 -0500] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [03/Feb/2015:19:10:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:10:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:11:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:11:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.153 - - [03/Feb/2015:19:11:15 -0500] "GET /redmine/issues/gantt?month=11&months=6&year=1670&zoom=3 HTTP/1.1" 200 51103 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 727 56069
127.0.0.1 - - [03/Feb/2015:19:11:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:11:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.4 - - [03/Feb/2015:19:11:58 -0500] "GET /redmine/issues/gantt?month=12&months=6&year=2497&zoom=1 HTTP/1.1" 200 27577 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 777 32486
127.0.0.1 - - [03/Feb/2015:19:12:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:12:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:12:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:12:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:13:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:13:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:13:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:13:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.153 - - [03/Feb/2015:19:13:54 -0500] "GET /redmine/activity?from=1872-08-11&show_news=1 HTTP/1.1" 200 5361 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 716 10026
66.249.67.111 - - [03/Feb/2015:19:14:04 -0500] "GET /redmine/projects/lmmpwiki/wiki/Marker_Tools HTTP/1.1" 200 9351 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 384 9831
127.0.0.1 - - [03/Feb/2015:19:14:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:14:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:14:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:14:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:15:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:15:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
137.78.207.218 - - [03/Feb/2015:19:15:31 -0500] "HEAD /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 - "-" "curl/7.38.0" 110 274
127.0.0.1 - - [03/Feb/2015:19:15:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:15:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.153 - - [03/Feb/2015:19:16:11 -0500] "GET /redmine/issues/gantt?month=2&months=6&year=1671&zoom=4 HTTP/1.1" 200 51005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 726 55971
127.0.0.1 - - [03/Feb/2015:19:16:12 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.119 - - [03/Feb/2015:19:16:12 -0500] "GET /redmine/projects/lmmpwiki/wiki/RockSearch HTTP/1.1" 200 8235 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 382 8715
127.0.0.1 - - [03/Feb/2015:19:16:13 -0500] "POST /opensso/sessionservice HTTP/1.1" 200 2022 "-" "Java/1.5.0_21" 711 2200
127.0.0.1 - - [03/Feb/2015:19:16:13 -0500] "GET /opensso/identity//xml/read?name=TomcatApps3&attributes_names=realm&attributes_values_realm=%2Fappspub&attributes_names=objecttype&attributes_values_objecttype=Agent&admin=AQIC5wM2LY4Sfcwfuin4GF3PcpsYz2%2Bb0KEYXSwMUvZPjqA%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13732 "-" "Java/1.5.0_21" 442 13916
127.0.0.1 - - [03/Feb/2015:19:16:13 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 182
66.249.67.9 - - [03/Feb/2015:19:16:15 -0500] "GET /redmine/javascripts/controls.js?1296684277 HTTP/1.1" 200 34716 "https://pub.lmmp.nasa.gov/redmine/issues/gantt?month=11&months=6&year=1670&zoom=3" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 1097 39177
66.249.67.9 - - [03/Feb/2015:19:16:15 -0500] "GET /redmine/javascripts/prototype.js?1296684278 HTTP/1.1" 200 129738 "https://pub.lmmp.nasa.gov/redmine/issues/gantt?month=11&months=6&year=1670&zoom=3" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 1098 134607
66.249.67.9 - - [03/Feb/2015:19:16:16 -0500] "GET /redmine/javascripts/application.js?1296684277 HTTP/1.1" 200 7727 "https://pub.lmmp.nasa.gov/redmine/issues/gantt?month=11&months=6&year=1670&zoom=3" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 748 8025
66.249.67.9 - - [03/Feb/2015:19:16:17 -0500] "GET /redmine/javascripts/effects.js?1296684277 HTTP/1.1" 200 38675 "https://pub.lmmp.nasa.gov/redmine/issues/gantt?month=11&months=6&year=1670&zoom=3" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 1096 43136
66.249.67.4 - - [03/Feb/2015:19:16:17 -0500] "GET /redmine/javascripts/dragdrop.js?1296684277 HTTP/1.1" 200 31103 "https://pub.lmmp.nasa.gov/redmine/issues/gantt?month=11&months=6&year=1670&zoom=3" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 1097 35535
127.0.0.1 - - [03/Feb/2015:19:16:42 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [03/Feb/2015:19:16:43 -0500] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.67.111 - - [03/Feb/2015:19:16:46 -0500] "GET /redmine/issues/gantt?month=9&months=6&year=2828&zoom=1 HTTP/1.1" 200 27588 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 345 28277
129.174.252.90 - - [03/Feb/2015:19:16:54 -0500] "GET /LMMPUI/LMMP_CLIENT/LMMP.html HTTP/1.1" 200 8973 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 372 9303
129.174.252.90 - - [03/Feb/2015:19:16:54 -0500] "GET /LMMPUI/LMMP_CLIENT/history/history.css HTTP/1.1" 200 365 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 390 692
129.174.252.90 - - [03/Feb/2015:19:16:54 -0500] "GET /LMMPUI/LMMP_CLIENT/history/history.js HTTP/1.1" 200 24650 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 374 24988
129.174.252.90 - - [03/Feb/2015:19:16:54 -0500] "GET /LMMPUI/LMMP_CLIENT/swfobject.js HTTP/1.1" 200 25574 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 368 25911
129.174.252.90 - - [03/Feb/2015:19:16:54 -0500] "GET /favicon.ico HTTP/1.1" 404 209 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 284 453
129.174.252.90 - - [03/Feb/2015:19:16:54 -0500] "GET /LMMPUI/LMMP_CLIENT/LMMP_WB.swf HTTP/1.1" 200 972505 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 412 972858
129.174.252.90 - - [03/Feb/2015:19:16:55 -0500] "GET /LMMPUI/LMMP_CLIENT/assets/image/background.jpg HTTP/1.1" 200 69719 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 428 70051
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/LMMP_CLIENT/assets/image/space.jpg HTTP/1.1" 200 25415 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 423 25747
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/LMMP_CLIENT/config/config.xml?1423009016660 HTTP/1.1" 200 11971 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 432 12308
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/LMMP_CLIENT/config/ldap.xml HTTP/1.1" 200 492 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 416 825
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/LMMP_CLIENT/config/helpLinks.xml HTTP/1.1" 200 796 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 421 1129
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/LMMP_CLIENT/assets/image/NASA_logo.png HTTP/1.1" 200 14512 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 427 14844
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/LMMP_CLIENT/homepage/features.xml?v=1423009016785 HTTP/1.1" 200 1611 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 438 1947
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/sessionservice HTTP/1.1" 200 413 "-" "Java/1.5.0_21" 712 591
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/authservice HTTP/1.1" 200 838 "-" "Java/1.5.0_21" 693 1155
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/authservice HTTP/1.1" 200 1843 "-" "Java/1.5.0_21" 1038 2020
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/sessionservice HTTP/1.1" 200 2014 "-" "Java/1.5.0_21" 712 2191
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/sessionservice HTTP/1.1" 200 271 "-" "Java/1.5.0_21" 778 448
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "GET /openssorest/token/localldap HTTP/1.1" 200 62 "-" "Java/1.5.0_21" 277 239
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMPUI/rest/proxy/proxyService?cs=bG1tcGd1ZXN0fGd1ZXN0bG1tcHxodHRwOi8vcHViLmxtbXAubmFzYS5nb3Yvb3BlbnNzb3Jlc3QvdG9rZW4vbG9jYWxsZGFw HTTP/1.1" 200 63 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 512 238
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "POST /openssorest/token/localldap HTTP/1.1" 200 62 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP_WB.swf/[[DYNAMIC]]/20" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 586 238
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfcygVr9td%2B%2F927k%2Byyt%2Fd%2BuFH9WLz3rp9ts%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 606 170
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /opensso/identity/isTokenValid?iPlanetDirectoryPro=AQIC5wM2LY4SfcygVr9td%2B%2F927k%2Byyt%2Fd%2BuFH9WLz3rp9ts%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 13 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 606 170
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/sessionservice HTTP/1.1" 200 2013 "-" "Java/1.5.0_21" 816 2191
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /opensso/identity/attributes?iPlanetDirectoryPro=AQIC5wM2LY4SfcygVr9td%2B%2F927k%2Byyt%2Fd%2BuFH9WLz3rp9ts%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 981 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 604 1139
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/sessionservice HTTP/1.1" 200 270 "-" "Java/1.5.0_21" 882 447
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/policyservice HTTP/1.1" 200 9460 "-" "Java/1.5.0_21" 1118 9645
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [03/Feb/2015:19:16:56 -0500] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1370 1551
129.174.252.90 - - [03/Feb/2015:19:16:56 -0500] "GET /LMMP/rest/dbxml/resources?iPlanetDirectoryPro=AQIC5wM2LY4SfcygVr9td%2B%2F927k%2Byyt%2Fd%2BuFH9WLz3rp9ts%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 2827 "http://pub.lmmp.nasa.gov/LMMPUI/LMMP_CLIENT/LMMP.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36" 602 3079
